a,1,20.72,45.410,200.00,2016-03-15 19:04:56
a,3,20.74,41.441,215.71,2016-03-15 19:04:56
a,4,21.13,42.575,230.00,2016-03-15 19:04:56
c,1,22.31,40.307,144.29,2016-03-15 19:04:56
c,2,22.11,50.351,172.86,2016-03-15 19:04:56
c,3,22.10,35.285,160.00,2016-03-15 19:04:56
c,5,22.03,41.603,160.00,2016-03-15 19:04:56
b,1,22.92,50.513,165.71,2016-03-15 19:04:57
b,3,22.76,53.267,185.71,2016-03-15 19:04:57
c,4,21.99,37.999,218.57,2016-03-15 19:04:57
a,2,21.12,43.790,185.71,2016-03-15 19:04:58
b,2,22.68,64.607,187.14,2016-03-15 19:04:58
a,1,20.72,45.410,200.00,2016-03-15 19:05:00
a,3,20.74,41.441,215.71,2016-03-15 19:05:00
a,4,21.14,42.615,231.43,2016-03-15 19:05:00
c,1,22.29,40.307,144.29,2016-03-15 19:05:00
c,5,22.03,41.603,158.57,2016-03-15 19:05:00
b,1,22.92,50.513,167.14,2016-03-15 19:05:01
b,2,22.67,64.607,187.14,2016-03-15 19:05:01
b,3,22.75,53.389,184.29,2016-03-15 19:05:01
c,2,22.11,50.351,174.29,2016-03-15 19:05:01
c,3,22.11,35.285,158.57,2016-03-15 19:05:01
c,4,21.99,37.999,218.57,2016-03-15 19:05:01
a,2,21.12,43.749,185.71,2016-03-15 19:05:03
a,3,20.74,41.441,217.14,2016-03-15 19:05:03
a,1,20.72,45.410,200.00,2016-03-15 19:05:04
a,4,21.13,42.575,232.86,2016-03-15 19:05:04
c,1,22.30,40.347,141.43,2016-03-15 19:05:04
c,2,22.12,50.351,172.86,2016-03-15 19:05:04
c,3,22.10,35.285,160.00,2016-03-15 19:05:04
c,4,22.00,37.999,217.14,2016-03-15 19:05:04
b,2,22.67,64.607,187.14,2016-03-15 19:05:05
c,5,22.02,41.603,161.43,2016-03-15 19:05:05
a,2,21.11,43.749,185.71,2016-03-15 19:05:06
b,1,22.92,50.554,167.14,2016-03-15 19:05:06
b,3,22.75,53.429,185.71,2016-03-15 19:05:06
a,1,20.72,45.410,198.57,2016-03-15 19:05:08
a,3,20.74,41.441,217.14,2016-03-15 19:05:08
a,4,21.13,42.575,231.43,2016-03-15 19:05:08
c,2,22.10,50.310,172.86,2016-03-15 19:05:08
